"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SCYL3",170.227292874948,0.372180154823416,0.24683576043511,1.50780484224553,0.131604482487162,0.347430764224442
"FIRRM",44.4624936918612,0.17733522318155,0.490389925956513,0.361620852703398,0.717635379631394,0.86374946125209
"FGR",125.989299073647,-0.523362574259503,0.449546215137065,-1.16420193661275,0.244342185614669,0.493115141036181
"STPG1",450.83629110228,-0.0933977319010155,0.208670183939956,-0.447585419907861,0.654452427552298,0.826887566591758
"NIPAL3",2648.39034634121,1.11641994135559,0.403317745987794,2.76809030215442,0.00563858299527696,0.0456944196714337
"AK2",1141.87296001219,-0.0754903723857284,0.21098503140061,-0.357799659457312,0.720493245439826,0.865932409415351
"TTC22",8.84916475450368,-1.22490687655645,0.741652481537309,-1.65159142192506,0.0986178698920332,0.291230624443234
"ST7L",147.83530931437,0.269311831281264,0.209141849578188,1.28769938596427,0.197850627410711,0.438118848900679
"SELE",8.72217703528139,2.46410483567487,1.09843035946246,2.24329636781045,0.0248777094473416,0.12342005394173
"DNAJC11",275.744238928749,-0.68339689955827,0.206947581363848,-3.30227053176691,0.000959055228671129,0.0139951643246817
"FMO3",24.8077274152828,-0.0208168837720695,0.580181288071971,-0.0358799640733798,0.971378071932691,0.992673011180193
"E2F2",2.95673104594961,0.275675682352504,1.55149406250554,0.177684007315702,0.858971145695899,0.939504966667585
"CAMK1G",551.237825990569,-0.728504772146732,0.435586193962398,-1.67246984005563,0.0944317103086715,0.284043778719452
"CDK11A",102.067279704219,0.537766900496322,0.45660002489766,1.1777636249951,0.238890853834366,0.486881200575132
"NADK",745.742351913575,-0.498679617696849,0.160009693863355,-3.11655878876134,0.00182975193656934,0.0216177486405439
"PAX7",21.9349743324863,-0.197352988500894,0.595231630193569,-0.331556621809085,0.740224079091188,0.875410936267236
"FAM76A",263.36001523893,0.445357706778281,0.203324576230575,2.19037813841665,0.0284968241627015,0.134900365087134
"TRAF3IP3",17.6126485876341,0.523754446012847,0.647951802833981,0.808323155707066,0.418904575878214,0.657165134853632
"SPRTN",112.384952973183,0.0201255417500235,0.220766121259521,0.0911622745156853,0.927363650667889,0.973489831116754
"METTL13",484.148768858731,-0.931283190301707,0.248145407770473,-3.75297370468817,0.000174749191665066,0.00439131664828325
"SCMH1",493.995429138827,0.299963485897558,0.289849401250077,1.03489427476427,0.300718288678248,0.551972634545868
"FMO1",1.70074479061913,-1.3235701849123,1.19218256245924,-1.11020763647308,0.266909562850551,0.516313817175793
"ELOA",480.259174073027,0.352268553178725,0.173372067768917,2.03186451953872,0.0421673733003769,0.173353110299571
"LYPLA2",964.885821550919,-0.269941080667131,0.199374524956175,-1.3539396807414,0.175755622555221,0.409900022762902
"CLCN6",1662.39212063362,-0.311647567009928,0.115157811180727,-2.70626511406015,0.00680446996314008,0.0521072575984681
"MTMR11",134.079894464022,0.354137544096759,0.35213196962036,1.00569551943427,0.314562059166689,0.565750809710053
"CLCA1",0.325580552299727,0,3.71803547300368,0,1,NA
"CLCA4",53.9881142681901,1.3407185400503,0.600729841663716,2.23181611277574,0.0256271189530136,0.126088748541588
"ATP1A2",13946.1363979462,-0.220718947540191,0.491824605911513,-0.4487757320135,0.653593446802938,0.826736226057639
"NCDN",9340.97167260091,0.907865462090638,0.298654636847061,3.039850550037,0.00236695569841196,0.0256584145644735
"C8B",0.0659149586491462,0,5.11518297236906,0,1,NA
"GLRX2",771.777311804001,-0.155588354640717,0.196505041789194,-0.791777927039801,0.428490174896331,0.665663035521994
"PLEKHO1",1976.43733345113,-0.0806700850481996,0.21940865813297,-0.367670472690784,0.713118960042428,0.861139652509128
"GCLM",426.891435929897,0.254785735865137,0.196474127409087,1.29679026559379,0.194703360963076,0.434310249588133
"DEPDC1",3.14317103939711,-0.290432285308355,1.45096671879971,-0.200164677483857,0.841351791389415,0.931771213733981
"KPNA6",1072.35246881002,-0.0769805612557819,0.200587723832266,-0.383775037599779,0.701145191066174,0.854747905627188
"SLAMF7",0.530770203356978,1.16700371272649,2.52446318889555,0.462277967791263,0.643881997239654,NA
"INSRR",12.2561750480046,-2.00800487146876,1.28261976749561,-1.56554960585826,0.117454095573226,0.323828911046836
"SH2D2A",8.53009609088592,-2.80225456447732,1.0131389532827,-2.7659133580815,0.0056763614050231,0.0458447882416331
"TNFRSF1B",406.59070073545,-0.42658170500877,0.513559288525316,-0.830637697613644,0.406178331887373,0.646955545513578
"SARS1",2460.85468671944,-0.939819333026838,0.215680992962797,-4.35745088204851,1.3158601598532e-05,0.000684767039105235
"LRRC7",384.294624806319,0.462785201238021,0.225781735060686,2.04970167809913,0.0403935511699507,0.168959432379447
"MYOC",0.76012420651331,-2.00385032109316,2.64709670422686,-0.756999288274369,0.44905028885679,0.682772142600412
"ADSS2",534.260397340558,0.27607362037711,0.222824635310739,1.2389726117676,0.215355641013176,0.460562012692027
"ZZZ3",555.894694780405,0.525719617802774,0.154805248921735,3.3960064110524,0.000683767580101344,0.0111479976615153
"FBXO42",739.66453514562,0.125819666215573,0.177762135544766,0.707797899873269,0.479070770743019,0.706108304292059
"SLC66A1",355.442425463015,-0.134290956681936,0.165135223664728,-0.81321812331562,0.416093010368722,0.655073325888731
"THAP3",420.59481286569,-0.221220871189544,0.198815580536002,-1.11269383713861,0.26583994327771,0.515199908646168
"USH2A",25.7825598695895,0.674862986015871,0.451455365706868,1.49486092597261,0.134950741733016,0.352285798669423
"TRIT1",272.317003730758,1.26086114943146,0.263012020443939,4.7939297500671,1.63545564317005e-06,0.00016957948141044
"GUCA2B",0,NA,NA,NA,NA,NA
"TPR",627.953554921424,1.05584183127731,0.23088425501059,4.5730352259355,4.80709283086594e-06,0.000359863711742045
"VPS13D",1344.43047575855,0.355957835345885,0.196905845864082,1.80775656397521,0.0706443967827437,0.238804848325056
"COL9A2",1021.25914455129,0.761858811581298,0.515928829894615,1.4766742376791,0.139762981138077,0.359729140783079
"H6PD",411.386697615102,0.323168027187317,0.334468522649504,0.966213575577548,0.333937321176162,0.585644462623684
"PTGER3",33.9637298392002,-1.52628178004759,0.717738591576289,-2.1265148592548,0.0334604133358951,0.150037104547256
"SIKE1",626.640999855444,0.414112976959941,0.195319619836122,2.120181153882,0.0339907711206019,0.151439000023306
"AKR7A2",1047.65267759374,-0.847102656573382,0.26864874433168,-3.15319790040607,0.00161492284752591,0.0199257368932724
"MRTO4",582.304675672084,0.0132601390877794,0.222688987218053,0.0595455538840603,0.952517583068593,0.985050651073464
"TRAPPC3",812.63379884296,-0.301321692869152,0.209807843705557,-1.43617935129263,0.150951313071046,0.375220550983925
"THRAP3",1335.88186734514,0.644034943339023,0.19763891325566,3.25864442750663,0.00111945878682586,0.0156027386206423
"ARID4B",921.743587665637,0.456011659438029,0.201699558592366,2.26084609515496,0.0237687890823787,0.119588958692354
"OPN3",23.7473083592312,0.100671767382949,0.515318123733905,0.195358483907959,0.845112315412704,0.933476144631989
"SDCCAG8",270.703851470681,0.652966208785188,0.169753927551002,3.84654551564943,0.000119794885042,0.00341272322677669
"HHAT",38.0885405088125,-0.241112365498042,0.389230480833472,-0.619459105519537,0.535613954213301,0.746801983765638
"SZRD1",1585.45394090274,-0.116945126483248,0.351286253052004,-0.332905502185808,0.739205615978836,0.874632436799211
"MCOLN3",4.05412968024773,-1.29060813777093,1.17505256558255,-1.09834076838179,0.272055716136236,0.52245463305859
"SOAT1",345.178329919365,-0.136643651588989,0.214382246892967,-0.637383242173082,0.523875241221456,0.738459282018997
"MSH4",25.9150758419823,1.69094127868449,0.696781745178468,2.42678757069243,0.0152331724232765,0.0891976781600063
"PITHD1",2923.21163727468,-0.231892403513663,0.256636459510147,-0.903583239716934,0.366216431777584,0.615655555686181
"LAMC2",112.521175061752,2.84975955936379,0.638861712820291,4.46068296499311,8.16988748155594e-06,0.000499590115813534
"CROCC",872.251064730391,0.0642631552695208,0.30717161513587,0.209209289214746,0.834284861134107,0.92765099175804
"ZC3H11A",10.2252568192949,0.897964281045093,0.794303087867534,1.13050584186429,0.258263138250571,0.50781062332675
"YIPF1",374.24750470352,-0.305077041005365,0.178975115400024,-1.70457798182442,0.0882731607217457,0.272744005233315
"NDC1",225.359821897571,-0.379854749534231,0.211741278277415,-1.79395700557055,0.0728200315243447,0.243521155101645
"TARBP1",790.108510291131,1.50581408450861,0.382360816795029,3.93820187207056,8.20945136297982e-05,0.00258582228402991
"PIGV",264.119606483914,0.112917749065177,0.246924777844098,0.457296145210955,0.647458200040196,0.822583803558989
"PTPRU",1034.40502954653,-0.0384416202356576,0.215458811223753,-0.178417489715638,0.858395114860013,0.939344607999907
"SNRNP40",317.086420682692,0.160812685769526,0.219096572016534,0.733980839085836,0.462960416123566,0.693277824431899
"DDX20",226.717225919754,0.46950994059201,0.265155387018471,1.77069734796413,0.0766110437320518,0.251118155127208
"CHI3L2",459.907551432798,3.2781989192827,1.29572253389167,2.53001613658497,0.0114057280939674,0.0730649366080935
"GNAI3",890.160385607547,0.259216639390539,0.160322008219748,1.61685000249772,0.105910662953223,0.303375533174519
"WDR3",253.014443659433,-0.00698998720670208,0.225075454565508,-0.0310561950000089,0.975224724129153,0.994242143997919
"PKN2",763.432397946485,0.698965229613882,0.225217685308559,3.10350951638752,0.00191240084496947,0.0221746198382214
"PACC1",254.15741471153,-0.259188892154653,0.368746568758274,-0.702891671717656,0.482123261686664,0.70833808467299
"YBX1",4020.58397998376,-0.153289761567068,0.258850016255907,-0.592195294341883,0.553719820140515,0.759009491971587
"PPP2R5A",1001.63157051062,0.0361712201754001,0.234297615556735,0.154381512118467,0.877308930089331,0.948992112934056
"TIE1",293.391194486455,-1.6695331939994,0.450148103851378,-3.70885310793315,0.000208200162491329,0.00493006172004291
"KDM4A",255.181413377365,0.0917892190211064,0.200270303218056,0.45832665925095,0.646717773817457,0.822159196280473
"NFYC",992.457122619476,0.10699844863165,0.191363557350291,0.559137017064274,0.576068213274218,0.774678744195493
"ZMYND12",61.9867027535355,-0.349960444364144,0.408897575166564,-0.855863339912416,0.392073374877943,0.63626644504835
"ASPM",7.73563573937778,0.212470672219908,1.08996230320492,0.194933963858346,0.845444644881107,0.933490861976454
"CD84",30.9174619175307,0.883723633009767,0.586316924190389,1.50724564915135,0.131747703262345,0.347452550847226
"ELOVL1",942.882808351711,-0.403520937568739,0.354552982173394,-1.13811181362845,0.255073795768248,0.504532565134637
"LRRC40",483.702163456046,0.82081761382803,0.231103047308411,3.5517386005414,0.0003826948432272,0.00756955890146313
"EVI5",374.585694891487,0.262259819257434,0.219565843605328,1.19444725532469,0.232303061256479,0.480077655931625
"DNTTIP2",512.969953189165,0.20033983851672,0.233416520238582,0.858293313223703,0.390730520840869,0.635013173181218
"RRP15",255.458697337589,-0.0164126119201522,0.248311214379215,-0.0660969419411208,0.947300645506726,0.982773458783105
"PRKCZ",2395.40625446935,-0.410725167011419,0.322702109955998,-1.27276876828424,0.203100106858444,0.445597737402401
"IARS2",765.030247247556,0.236209640419245,0.217308991978813,1.08697591511664,0.277047453963213,0.527350097133989
"NUP133",691.205641211,0.127880098229499,0.154527341164444,0.827556452248878,0.407921739155175,0.648371466576835
"NUCKS1",8137.77213143734,0.212709707867693,0.216757871111164,0.981324031174883,0.326432975761343,0.577708202683509
"KCNAB2",5321.95608946069,-0.309032616898354,0.242120767681217,-1.27635733133489,0.201829232218356,0.444034950270589
"TGFBR3",390.52248774252,-0.260186718480602,0.403718962515023,-0.644474851663476,0.519267560125462,0.734818398638167
"TESK2",159.986749415826,0.595189640765234,0.323359074909153,1.8406461638117,0.0656734280457853,0.228195014312976
"EIF2B3",324.669079728642,-0.471305126390175,0.267552058456711,-1.76154550672773,0.0781461178757046,0.254401577967436
"EPHA8",45.471721198458,-0.0840442013105065,0.431163551096961,-0.194924179227772,0.845452304964127,0.933490861976454
"FCGR2B",12.7906181652976,1.29336308610685,0.874221491554928,1.47944553937517,0.139021276631602,0.358704975593194
"CD5L",1.52130926939369,1.3309750492666,2.03777476799419,0.653151206978921,0.513658802692422,0.730348356370606
"PTGS2",80.7588174844228,0.245065662106246,0.54494198547292,0.449709636326827,0.652919822118075,0.826300913667192
"ARHGEF10L",2855.44737814944,-0.0680277682504418,0.208796654920341,-0.325808707406713,0.744569090345303,0.877999321482269
"RASAL2",419.210751819206,1.07067524371214,0.292990240289549,3.65430344251073,0.000257881134640498,0.00571018095326168
"KIFAP3",1694.89786041017,-0.267507094413253,0.225166841245451,-1.18803946857187,0.234817860361233,0.482621386132119
"FMO4",13.716955605761,0.347925191771731,0.637904816303508,0.545418662595881,0.585465607773255,0.780689997469069
"KLHL20",220.394556805452,0.567473186474329,0.222901535982844,2.54584690936362,0.0109012985249874,0.07070173954007
"PLXNA2",1193.65905955087,0.334964082789902,0.250182158329857,1.33888077801401,0.180609488231458,0.416242224510226
"RAP1GAP",3127.4237790024,-0.129768953861465,0.25953496100313,-0.500005676922655,0.617071080162388,0.803790934162836
"USP33",1994.56593149211,0.217511941556196,0.208312078795982,1.04416384692327,0.296409590433829,0.547092497657756
"GPR137B",650.537344356969,-0.473848398595741,0.31484278253035,-1.50503179646516,0.132315902173933,0.348294177056391
"NRDC",1712.33119334355,0.229538710035785,0.120689425315835,1.9018957910778,0.0571847795578267,0.209043412575943
"SDF4",3433.24997788138,-0.471197649727701,0.141942679648491,-3.3196333258931,0.000901357525242528,0.013408373160701
"TP73",114.687646295726,-0.181609394231365,0.527626914145693,-0.344200398733294,0.730695582457581,0.870789341183192
"MKNK1",469.459023174461,0.887912159869121,0.234716092477106,3.7829198266656,0.000154999351457449,0.00403046600191691
"CDC14A",81.7120587218258,0.0652104824649723,0.504804938295419,0.129179565249836,0.897215565286699,0.959090519747464
"PGM1",1016.05228304352,-0.865534709455623,0.247073861549553,-3.50314154652912,0.000459805054981516,0.00846304915971491
"RSBN1",1094.34800551857,0.503595183966969,0.245279306053965,2.05314990517859,0.0400580411453718,0.168233695315934
"MAGI3",390.367942641922,0.547266938416701,0.270604443241121,2.02238711183711,0.0431363754750192,0.176197370242224
"PTPRC",98.6985499049967,1.3559788754918,0.644875569510643,2.10269847332064,0.0354921356068525,0.156021793856858
"CACNA1S",7.43987875720292,0.755337397649347,1.00016416475342,0.755213418224768,0.450120938814265,0.683554894256831
"PKP1",27.4710172227151,0.540516802750928,0.611992221274686,0.883208615993703,0.377123567248403,0.622843374717534
"JMJD4",213.111478589809,-0.502311404006694,0.384868033096713,-1.30515231406727,0.191840988119812,0.430803531836446
"DUSP12",251.223292100252,0.142448311449766,0.25413194479557,0.560528947135532,0.575118700758568,0.774401644657487
"IFT25",243.405145693122,-0.0343685131144741,0.225938314625752,-0.152114585662032,0.879096560385866,0.949572175935403
"IL12RB2",24.7475520525621,0.026759570025272,0.573059745644964,0.0466959513883754,0.962755557151823,0.989093770536236
"KCNK2",61.1548436979009,0.296560214362553,0.429883471627357,0.689861867077376,0.490281058215684,0.713641292689217
"TRAF5",79.7595251497254,0.536577852330335,0.317728345879628,1.68879440342291,0.0912588367256859,0.278973634920088
"PLOD1",1103.94867429339,-0.633215218099344,0.347751292232129,-1.82088530580258,0.0686242933019328,0.234516673977987
"SMAP2",1506.23125809519,-0.195364941054597,0.225508874752384,-0.86632927980823,0.386309613923007,0.631108696030557
