"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SH2D2A",8.53009609088592,-2.80225456447732,1.0131389532827,-2.7659133580815,0.0056763614050231,0.0458447882416331
"LAMC2",112.521175061752,2.84975955936379,0.638861712820291,4.46068296499311,8.16988748155594e-06,0.000499590115813534
"TARBP1",790.108510291131,1.50581408450861,0.382360816795029,3.93820187207056,8.20945136297982e-05,0.00258582228402991
"TIE1",293.391194486455,-1.6695331939994,0.450148103851378,-3.70885310793315,0.000208200162491329,0.00493006172004291
"OVGP1",139.30315427941,1.79499363588284,0.372224832754444,4.82233714123796,1.41885863616158e-06,0.000154813242301186
"TFAP2E",231.598634312724,2.08160720294684,0.403925840851284,5.15343905346535,2.55752219911317e-07,4.64079082521688e-05
"IRF6",262.175966657154,-2.12339683335688,0.673521812777166,-3.15267715621767,0.00161780621865255,0.0199465709115108
"RSRP1",1235.42465218005,1.5633699458097,0.268828818671341,5.81548493772539,6.04583573695023e-09,2.96850534684256e-06
"TRMT13",184.217040175249,1.89461150195528,0.261517661876934,7.24467895727384,4.33464725263216e-13,9.04532515443016e-10
"LRRC39",48.6555637718053,2.44939378645466,0.416640000550794,5.87892133068497,4.12948556022989e-09,2.46205828365992e-06
"RHBG",112.709016351206,-3.73038680251065,1.07338679550552,-3.47534254951756,0.000510201398033175,0.0090802794656352
"PTPN22",11.6613266013682,2.18915114229313,0.676877717183753,3.23418999727368,0.00121988272807971,0.0166197297004269
"HSPG2",47.8094987174047,-1.66179340364467,0.452644634141372,-3.67129814053125,0.000241321635023778,0.00546624609916817
"HHIPL2",1.6908750712372,3.77752163034501,1.31405853670054,2.87469813927009,0.00404413933896605,0.0363374283268536
"SPAG17",3.06242899357242,3.47808729228523,1.04779291037173,3.31944152117931,0.000901976941384161,0.013408373160701
"GRHL3",11.7581270023857,3.60560713861769,1.18504376203102,3.04259408314013,0.00234548484269634,0.0255084846670832
"CDA",67.4665379971886,-1.70681952579494,0.566480420597403,-3.01302474672461,0.00258657824412712,0.0272775345593545
